threat	fenyegetés
aluminum	alumínium
immoral	halhatatlan
verdict	ítélet
fur	bunda
comprehend	megért
clarify	tisztáz
noticeable	észrevehető
communicate kommunikál
gauge	nyomtáv
build	épít
violation	szabálysértés
august	augusztus
dominate	ural
hallway	bejárat
conquest	meghódít
ashamed	szégyenkező
polyester	poliészter
acknowledge	elismer
sentry	őrszem
orthodontist	fogszabályzó orvos
predict	megjósol
emergency	vészhelyzet
dollar	dollár
gut	zsigerek
determine	meghatároz
locate	lokalizál
disorganize	elszervez
aisle	folyosó
differ	különbözik
laden megrakott
stud	díszpinty
racket	rakéta
motel	motel
maker	készítő
dreary sivár
bunch	csokor
colt	csikó
achieve	elér
plead	kérlel
frustration frusztráció
